"term";"estimate";"std.error";"statistic";"p.value"
"(Intercept)";4,65771982382738;0,132028369003343;11,6529957297036;0,0000000000000895847183962706
"idade_calculada";1,02209619893864;0,00586308880822066;3,72766236136363;0,000661941824893112
"I(idade_calculada^2)";0,999846809483363;0,0000704833036474161;-2,17359634941511;0,0363923684168855
"superior";2,79803345078783;0,02362358666058;43,5546408005077;0,00000000000000000000000000000000968017662530419
"ensino_medio";1,16505582264031;0,0180798610194021;8,44967791152905;0,000000000456476854858434
"negro";0,871729945902771;0,0154263171102332;-8,89879270102285;0,000000000127400164320555
"estuda";1,22785742098694;0,0240282834884124;8,54287891163255;0,000000000349555220029285
"informal";0,891420834297349;0,0184015203706001;-6,24614944151071;0,000000326269196812289
"setor_publico";1,66860810382589;0,0225779550621163;22,6765358832217;0,0000000000000000000000658241782416325
"tempo";1,00131599549272;0,0000807737636818196;16,2816522303161;0,00000000000000000349735135593693
"trabalha_pp";1,1992732646808;0,0132010935985374;13,7652050729039;0,000000000000000651432411975509
"IMR";0,89817533589898;0,0534250299882136;-2,01010609081267;0,0519588598140122
"deficiente";0,92083621240264;0,0354428996985569;-2,32692855097807;0,0257106503609197
"mulher";0,842839159668359;0,0189820431690751;-9,00741468318337;0,0000000000939201127167004
